epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,8928.16,1.5776,1.03305,0.9977,0.79283,0.39484,0.45393,0.28364,1.59368,1.08816,1.0189,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
58,9078.32,1.52431,1.01546,0.99977,0.69542,0.41541,0.45104,0.28034,1.59525,1.10313,1.01707,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
59,9230.01,1.56933,1.02756,0.99906,0.70358,0.41172,0.45354,0.28327,1.59267,1.08395,1.01333,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
60,9383.95,1.54142,1.00637,0.99546,0.72876,0.41754,0.45392,0.28178,1.5977,1.10698,1.01201,0.0270795,0.0090265,0.0270795,0.0090265,0.0270795,0.0090265,0.0270795,0.0090265
61,9533.41,1.52153,1.01264,0.99637,0.69336,0.41132,0.45006,0.28657,1.57923,1.09731,1.00494,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
62,9687.1,1.56423,1.02126,0.99669,0.69112,0.4178,0.45266,0.28555,1.57958,1.0867,1.01198,0.0269805,0.0089935,0.0269805,0.0089935,0.0269805,0.0089935,0.0269805,0.0089935
63,9842.33,1.56803,1.02816,0.99559,0.76019,0.398,0.45188,0.28325,1.58844,1.08946,1.00947,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
64,9994.47,1.5632,1.02636,0.9996,0.71469,0.41061,0.45199,0.28139,1.59816,1.12532,1.01131,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
65,10149.6,1.51017,0.98621,0.99799,0.72945,0.41973,0.4631,0.29234,1.58231,1.08498,1.00707,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
66,10303.9,1.53468,0.9979,0.99201,0.75548,0.42042,0.4641,0.28982,1.57977,1.0751,1.01055,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
67,10455.7,1.54588,1.00864,0.98823,0.70482,0.42631,0.4571,0.29178,1.57459,1.09209,1.00681,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
68,10610.6,1.54677,0.98723,0.9933,0.70393,0.42212,0.45542,0.28747,1.56941,1.07431,1.00504,0.0266835,0.0088945,0.0266835,0.0088945,0.0266835,0.0088945,0.0266835,0.0088945
69,10761.3,1.52165,0.99758,0.99444,0.70209,0.41281,0.45468,0.2892,1.58341,1.06859,1.00894,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
70,10911.6,1.50886,0.97536,0.98782,0.71453,0.42343,0.45685,0.28647,1.58025,1.07084,1.00704,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
71,11065.5,1.52176,0.98976,0.98928,0.66709,0.41395,0.45346,0.28805,1.5791,1.08544,1.00806,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
72,11217.6,1.52445,0.9695,0.98288,0.69163,0.43727,0.46493,0.29623,1.56581,1.06605,1.00422,0.0264855,0.0088285,0.0264855,0.0088285,0.0264855,0.0088285,0.0264855,0.0088285
73,11371.4,1.5033,0.96653,0.98621,0.73065,0.41769,0.45768,0.28862,1.57743,1.07508,1.00236,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
74,11526,1.56212,1.00895,0.98427,0.71792,0.41529,0.45324,0.28779,1.57177,1.11623,1.01148,0.0263865,0.0087955,0.0263865,0.0087955,0.0263865,0.0087955,0.0263865,0.0087955
75,11677.8,1.5376,0.98482,0.98524,0.73104,0.41703,0.4648,0.29228,1.55803,1.08107,1.00178,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
76,11829.4,1.48552,0.96548,0.98111,0.6868,0.42169,0.46602,0.29538,1.54846,1.07394,0.99764,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
77,11983.4,1.50409,0.97911,0.9866,0.73609,0.43241,0.46708,0.29338,1.56835,1.06179,1.00656,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
78,12137.7,1.52042,0.97216,0.98184,0.67939,0.42069,0.46117,0.29131,1.56508,1.09202,1.00228,0.0261885,0.0087295,0.0261885,0.0087295,0.0261885,0.0087295,0.0261885,0.0087295
79,12291,1.49038,0.95515,0.97737,0.72067,0.42398,0.47344,0.29846,1.5504,1.04663,1.0001,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
80,12441.7,1.49672,0.95108,0.98214,0.72689,0.42733,0.46757,0.29559,1.55003,1.05696,1.00005,0.0260895,0.0086965,0.0260895,0.0086965,0.0260895,0.0086965,0.0260895,0.0086965
81,12596.6,1.50659,0.94086,0.97762,0.72501,0.44907,0.47247,0.29886,1.55485,1.03085,0.99743,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
82,12746.6,1.48441,0.95521,0.98357,0.73346,0.42687,0.47135,0.29999,1.54984,1.05073,1.00001,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
83,12906,1.52133,0.96419,0.98038,0.75192,0.41788,0.47067,0.30067,1.55714,1.0574,0.99745,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
84,13059.1,1.50042,0.95775,0.98227,0.75387,0.42874,0.47864,0.30236,1.56318,1.04161,1.00016,0.0258915,0.0086305,0.0258915,0.0086305,0.0258915,0.0086305,0.0258915,0.0086305
85,13209.3,1.48004,0.92995,0.98019,0.78133,0.42565,0.48121,0.30792,1.54438,1.02544,1.00008,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
86,13358.6,1.45786,0.91861,0.97871,0.75021,0.43809,0.47769,0.30413,1.54968,1.03282,1.00002,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
87,13513,1.48372,0.95592,0.98101,0.73136,0.42054,0.46715,0.29773,1.54677,1.03426,0.99504,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
